Date,Type de transaction,Texte de notification
11/24/2025,Enregistrement comptable,DÉBIT UBS SWITZERLAND AG BAHNHOFSTRASSE 45 8098 ZÜRICH CH1530005230P02034370 ZÜRICH VERSICHERUNGS-GESELLSCHAFT A G REGIONALSITZ ZÜRICH HAGENHOLZSTRASSE 60 8050 ZÜRICH REFERENCE DE L'EXPEDITEUR: 20251123000800956423499
11/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.11.2025 DECATHLON LAUSANNE LAUSANNE (CH)
11/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.11.2025 COOP-5386 LS BEL AIR FOOBY LAUSANNE (CH)
11/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.11.2025 AUDIOSOURCE SA LAUSANNE (CH)
8/11/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.11.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
7/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 07.11.2025 M MIGROS DU SILO RENENS VD (CH)
7/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 07.11.2025 OBI RENENS RENENS (CH)
7/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 07.11.2025 ZYMI SARL LAUSANNE (CH)
6/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 06.11.2025 LS CLASSIC LAUSANNE (CH)
6/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 06.11.2025 GRIMPER.CH LAUSANNE (CH)
6/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 06.11.2025 GRIMPER.CH LAUSANNE (CH)
5/11/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.11.2025 USD 21.62 AU COURS DE 0.8181 MONTANT DANS LA MONNAIE DU COMPTE 17.69 1.5% FRAIS DE TRAITEMENT 0.27 CARTE N° XXXX0918 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
5/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 05.11.2025 DECATHLON LAUSANNE LAUSANNE (CH)
5/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 05.11.2025 COOP-5386 LS BEL AIR FOOBY LAUSANNE (CH)
3/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 03.11.2025 AIMÉ POULY SA 4584 LAUSANNE (CH)
2/11/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.11.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
1/11/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 01.11.2025 COOP-5932 LS CITY ST.FRANÇ. K. LAUSANNE (CH)
10/31/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 31.10.2025 AIMÉ POULY SA 4584 LAUSANNE (CH)
10/29/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 29.10.2025 COOP-5932 LS CITY ST.FRANÇ. K. LAUSANNE (CH)
10/26/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 26.10.2025 USD 6.49 AU COURS DE 0.8066 MONTANT DANS LA MONNAIE DU COMPTE 5.23 1.5% FRAIS DE TRAITEMENT 0.08 CARTE N° XXXX0918 OPENAI SAN FRANCISCO
10/23/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 23.10.2025 POUR NUMERO MOBILE. +41789141059 SASSOLI DE BIANCHI, LUCA COMMUNICATIONS: HEHE FORGOT TO PAY THE BEERS"
10/23/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 23.10.2025 POUR NUMERO MOBILE. +41786842546 , HELENE"
10/23/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 23.10.2025 CAFFÈ SPETTACOLO 11889 LAUSANNE (CH)
10/21/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 21.10.2025 GRIMPER.CH LAUSANNE (CH)
10/21/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 21.10.2025 AIMÉ POULY SA 4584 LAUSANNE (CH)
10/18/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 18.10.2025 LS BAN AND CO LAUSANNE (CH)
10/18/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 18.10.2025 POUR NUMERO MOBILE. +41793695620 , ELLIOT"
10/18/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 18.10.2025 GRIMPER.CH LAUSANNE (CH)
10/16/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 16.10.2025 MARTEREY 56 LAUSANNE (CH)
10/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.10.2025 CARTE N° XXXX0918 EPC*UNREAL ENGINE MKT 919-854-0070
10/13/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 13.10.2025 CARTE N° XXXX0918 EPC*UNREAL ENGINE MKT 919-854-0070
10/13/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 13.10.2025 POUR NUMERO MOBILE. +41774042694 MATOS, SEBASTIEN"
11/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 11.10.2025 COOP-5932 LS CITY ST.FRANÇ. K. LAUSANNE (CH)
11/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 11.10.2025 GRIMPER.CH LAUSANNE (CH)
11/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 11.10.2025 MEALZ LAUSANNE (CH)
8/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 08.10.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
8/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 08.10.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
8/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 08.10.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
8/10/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.10.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
5/10/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.10.2025 USD 21.62 AU COURS DE 0.8078 MONTANT DANS LA MONNAIE DU COMPTE 17.46 1.5% FRAIS DE TRAITEMENT 0.26 CARTE N° XXXX0918 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
3/10/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 03.10.2025 COOP-5932 LS CITY ST.FRANÇ. K. LAUSANNE (CH)
3/10/2025,Enregistrement comptable,TRANSFERT SUR COMPTE CH7909000000167453025
2/10/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 02.10.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE"
2/10/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 02.10.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE"
2/10/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.10.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
1/10/2025,Enregistrement comptable,DÉBIT CH6030000001100260003 CAISSE CANTONALE VAUDOISE DE COMPEN SATION AVS RUE DES MOULINS 3 1800 VEVEY REFERENCE DE L'EXPEDITEUR: 20250930000800593287033
1/10/2025,Enregistrement comptable,DÉBIT CH9630000001800038016 FORTUNA COMPAGNIE D'ASSURANCE DE PROTECTION JURIDIQUE SA 8134 ADLISWIL REFERENCE DE L'EXPEDITEUR: 20250930000800593230609
1/10/2025,Enregistrement comptable,DÉBIT CH6430000001306657404 MOBILIÈRE SUISSE SOCIÉTÉ D'ASSURANC ES SA 3001 BERNE REFERENCE DE L'EXPEDITEUR: 20250930000800593215329
9/14/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 14.09.2025 CAFFÈ SPETTACOLO 11889 LAUSANNE (CH)
12/9/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 12.09.2025 M MIGROS DU SILO RENENS VD (CH)
10/9/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 10.09.2025 AIMÉ POULY SA 4584 LAUSANNE (CH)
8/9/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.09.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
7/9/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 07.09.2025 CARTE N° XXXX0918 PROTON AG* PROTON AG GENEVA
5/9/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.09.2025 USD 21.62 AU COURS DE 0.8152 MONTANT DANS LA MONNAIE DU COMPTE 17.62 1.5% FRAIS DE TRAITEMENT 0.26 CARTE N° XXXX0918 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
2/9/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.09.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
1/9/2025,Enregistrement comptable,"ACHAT/SHOPPING EN LIGNE DU 01.09.2025 USD 192.00 AU COURS DE 0.8120 MONTANT DANS LA MONNAIE DU COMPTE 155.90 1.5% FRAIS DE TRAITEMENT 2.34 CARTE N° XXXX0918 CURSOR, AI POWERED IDE NEW YORK"
8/20/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 20.08.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
8/20/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 20.08.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
8/20/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 20.08.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
8/19/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 19.08.2025 POUR NUMERO MOBILE. +41788893684 , BEN COMMUNICATIONS: MAAAALL GRAB"
8/18/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 18.08.2025 POUR NUMERO MOBILE. +41763751020 , MAXIME COMMUNICATIONS: PADEL"
8/18/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 18.08.2025 POUR NUMERO MOBILE. +41799496141 , SARAH COMMUNICATIONS: PADEL"
8/18/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 18.08.2025 USD 6.49 AU COURS DE 0.8167 MONTANT DANS LA MONNAIE DU COMPTE 5.30 1.5% FRAIS DE TRAITEMENT 0.08 CARTE N° XXXX0918 ANTHROPIC SAN FRANCISCO
8/17/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 17.08.2025 USD 10.81 AU COURS DE 0.8167 MONTANT DANS LA MONNAIE DU COMPTE 8.83 1.5% FRAIS DE TRAITEMENT 0.13 CARTE N° XXXX0918 ANTHROPIC SAN FRANCISCO
8/16/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 16.08.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE"
8/16/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 16.08.2025 POUR NUMERO MOBILE. +41797051239 , SENTLI"
8/16/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 16.08.2025 POUR NUMERO MOBILE. +41782015105 , FLAMENCO"
8/16/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 16.08.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE COMMUNICATIONS: EMOJI"
8/16/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 16.08.2025 COOP PRONTO 4107 BIEL/BIENNE BIEL/BIENNE (CH)
8/15/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 15.08.2025 USD 21.62 AU COURS DE 0.8159 MONTANT DANS LA MONNAIE DU COMPTE 17.64 1.5% FRAIS DE TRAITEMENT 0.26 CARTE N° XXXX0918 ANTHROPIC SAN FRANCISCO
8/14/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 14.08.2025 USD 10.81 AU COURS DE 0.8170 MONTANT DANS LA MONNAIE DU COMPTE 8.83 1.5% FRAIS DE TRAITEMENT 0.13 CARTE N° XXXX0918 OPENAI SAN FRANCISCO
8/13/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 13.08.2025 USD 21.62 AU COURS DE 0.8211 MONTANT DANS LA MONNAIE DU COMPTE 17.75 1.5% FRAIS DE TRAITEMENT 0.27 CARTE N° XXXX0918 ANTHROPIC SAN FRANCISCO
11/8/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 11.08.2025 POUR NUMERO MOBILE. +41789141059 SASSOLI DE BIANCHI, LUCA COMMUNICATIONS: KEBISH"
11/8/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 11.08.2025 USD 21.61 AU COURS DE 0.8175 MONTANT DANS LA MONNAIE DU COMPTE 17.67 1.5% FRAIS DE TRAITEMENT 0.27 CARTE N° XXXX0918 LEMSQZY* NEAT SALT LAKE CIT
11/8/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 11.08.2025 POUR NUMERO MOBILE. +41792136798 , SPETTACOLO"
11/8/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 11.08.2025 POUR NUMERO MOBILE. +41763751020 BLANCO, MAXIME COMMUNICATIONS: HEHE DESO J'AI ZAPPÉ! MERCI POUR LA RAQUETTE"
10/8/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 10.08.2025 POUR NUMERO MOBILE. +41793687967 REISEN, KANDER"
8/8/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.08.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
6/8/2025,Enregistrement comptable,ACHAT/SERVICE DU 06.08.2025 CARTE NO XXXX0918 EPICERIE DU LAC RENENS (CH)
5/8/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 05.08.2025 USD 21.62 AU COURS DE 0.8171 MONTANT DANS LA MONNAIE DU COMPTE 17.67 1.5% FRAIS DE TRAITEMENT 0.27 CARTE N° XXXX0918 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
5/8/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 05.08.2025 SNACK TIME RENENS (CH)
2/8/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 02.08.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
1/8/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 01.08.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
7/30/2025,Enregistrement comptable,ACHAT/SERVICE DU 30.07.2025 CARTE NO XXXX0918 POULY SA 4584 LAUSANNE (CH)
7/29/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 29.07.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE"
7/28/2025,Enregistrement comptable,ACHAT/SERVICE DU 28.07.2025 CARTE NO XXXX0918 M MIGROS DU SILO RENENS VD (CH)
7/27/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 27.07.2025 PÂTISSERIE VINCENT LUTRY (CH)
7/27/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 27.07.2025 MOUTARLIERSÀRL LUTRY (CH)
7/26/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 26.07.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE COMMUNICATIONS: SIEGES AVION"
7/26/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 26.07.2025 POUR NUMERO MOBILE. +41774236792 , RAPHAËLLE COMMUNICATIONS: COLOMBIA"
7/25/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 25.07.2025 USD 16.22 AU COURS DE 0.8058 MONTANT DANS LA MONNAIE DU COMPTE 13.07 1.5% FRAIS DE TRAITEMENT 0.20 CARTE N° XXXX0918 ANTHROPIC SAN FRANCISCO
7/24/2025,Enregistrement comptable,ACHAT/SERVICE DU 24.07.2025 CARTE NO XXXX0918 M MIGROS DU SILO RENENS VD (CH)
7/24/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 24.07.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
7/22/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 22.07.2025 AIMÉ POULY SA 4584 LAUSANNE (CH)
7/21/2025,Enregistrement comptable,"ENVOI D'ARGENT TWINT DU 21.07.2025 POUR NUMERO MOBILE. +41763751020 , MAXIME COMMUNICATIONS: PADEL"
7/21/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 21.07.2025 SELECTA AG KIRCHBERG (CH)
7/21/2025,Enregistrement comptable,ACHAT/SERVICE DU 21.07.2025 CARTE NO XXXX0918 PANETIER LAUSANNE SOUS-VOIES GARE LAUSANNE (CH)
7/21/2025,Enregistrement comptable,ACHAT/SERVICE DU 21.07.2025 CARTE NO XXXX0918 CAFÉ OBERSTRASSE ZÜRICH (CH)
7/19/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 19.07.2025 CASTELGRANDE BELLINZONA (CH)
7/19/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 19.07.2025 RISTORANTE BUFFET DELLA STAZIONE LUGANO (CH)
7/16/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 16.07.2025 LE TEMPS SA GENÈVE (CH)
7/15/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 15.07.2025 USD 21.62 AU COURS DE 0.8078 MONTANT DANS LA MONNAIE DU COMPTE 17.46 1.5% FRAIS DE TRAITEMENT 0.26 CARTE N° XXXX0918 ANTHROPIC SAN FRANCISCO
7/14/2025,Enregistrement comptable,ACHAT/SERVICE DU 14.07.2025 CARTE NO XXXX0918 MIRO MANUFACTURA DE CAFÉ ZÜRICH (CH)
7/14/2025,Enregistrement comptable,ACHAT/SERVICE DU 14.07.2025 CARTE NO XXXX0918 ZÜRICH EUROPAALLEE WC SBB ZÜRICH (CH)
7/14/2025,Enregistrement comptable,ACHAT/SERVICE DU 14.07.2025 CARTE NO XXXX0918 CAFFÈ SPETTACOLO 11889 LAUSANNE (CH)
7/14/2025,Enregistrement comptable,ACHAT/SERVICE DU 14.07.2025 CARTE NO XXXX0918 BRIDGE ZÜRICH (CH)
8/7/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 08.07.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
8/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 08.07.2025 CARTE NO XXXX0918 LS IL FORNO LAUSANNE LAUSANNE (CH)
7/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 07.07.2025 CARTE NO XXXX0918 POULY SA 4584 LAUSANNE (CH)
6/7/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 06.07.2025 USD 21.62 AU COURS DE 0.8036 MONTANT DANS LA MONNAIE DU COMPTE 17.37 1.5% FRAIS DE TRAITEMENT 0.26 CARTE N° XXXX0918 CLAUDE.AI SUBSCRIPTION SAN FRANCISCO
5/7/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 05.07.2025 TANDOORI PLAGE SÀRL PULLY (CH)
5/7/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 05.07.2025 DIGITEC GALAXUS ZÜRICH (CH)
4/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 04.07.2025 CARTE NO XXXX0918 EPICERIE DU LAC RENENS (CH)
4/7/2025,Enregistrement comptable,ACHAT/SHOPPING EN LIGNE DU 04.07.2025 CARTE N° XXXX0918 INFOMANIAK.COM INTERNET
3/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 03.07.2025 CARTE NO XXXX0918 KKIOSK LAUSANNE CFF EST 29144 LAUSANNE (CH)
3/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 03.07.2025 CARTE NO XXXX0918 COOP-5932 LS CITY ST.FRANÇOIS K. LAUSANNE (CH)
3/7/2025,Enregistrement comptable,DÉBIT CH6330000008300056916 CHEMINS DE FER FÉDÉRAUX SUISSES CFF DIVISION MARCHÉ VOYAGEURS 3000 BERNE 65 REFERENCE DE L'EXPEDITEUR: 20250702000800468529468
2/7/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 02.07.2025 M MIGROS DU SILO RENENS VD (CH)
2/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 02.07.2025 CARTE NO XXXX6273 COOP-5932 LS CITY ST.FRANÇOIS K. LAUSANNE (CH)
1/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 01.07.2025 CARTE NO XXXX6273 CJ HAIR LAUSANNE (CH)
1/7/2025,Enregistrement comptable,ACHAT/SERVICE DU 01.07.2025 CARTE NO XXXX6273 M MIGROS DU SILO RENENS VD (CH)
6/30/2025,Enregistrement comptable,ACHAT/SERVICE DU 30.06.2025 CARTE NO XXXX6273 COOP-5932 LS CITY ST.FRANÇOIS K. LAUSANNE (CH)
6/27/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 27.06.2025 TIBITS LAUSANNE LAUSANNE (CH)
6/27/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 27.06.2025 COOP PRONTO LAUSANNE GARE LAUSANNE (CH)
6/27/2025,Enregistrement comptable,ACHAT/SERVICE DU 27.06.2025 CARTE NO XXXX6273 COOP-2542 LS C. STFR REST LAUSANNE (CH)
6/27/2025,Enregistrement comptable,ACHAT/SERVICE DU 27.06.2025 CARTE NO XXXX6273 COOP-2542 LS C. STFR REST LAUSANNE (CH)
6/27/2025,Enregistrement comptable,ACHAT/SERVICE DU 27.06.2025 CARTE NO XXXX6273 COOP-2542 LS C. STFR REST LAUSANNE (CH)
6/25/2025,Enregistrement comptable,DÉBIT CH6030000001100260003 CAISSE CANTONALE VAUDOISE DE COMPEN SATION AVS RUE DES MOULINS 3 1800 VEVEY REFERENCE DE L'EXPEDITEUR: 20250624000800200823760
6/24/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 24.06.2025 M MIGROS DU SILO RENENS VD (CH)
6/23/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 23.06.2025 M MIGROS DU SILO RENENS VD (CH)
6/20/2025,Enregistrement comptable,ACHAT/SERVICE DU 20.06.2025 EUR 746.50 AU COURS DE 0.9524 MONTANT DANS LA MONNAIE DU COMPTE 710.97 1.5% FRAIS DE TRAITEMENT 10.66 CARTE NO XXXX6273 HOTEL GALLO NERO MARCIANA ITALIE
6/19/2025,Enregistrement comptable,"LASTSCHRIFT KREDITKARTE DEBIT CARTE
 DE CRÉDIT ADDEBITO CARTA DI CREDITO
 DEBIT CREDIT CARD ACCOUNT"
6/16/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 16.06.2025 SWISSCOM (SCHWEIZ) AG / WINGO MOBILE LIEBEFELD (CH)
12/6/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 12.06.2025 INFOMANIAK NETWORK SA LES ACACIAS (CH)
12/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 12.06.2025 CARTE NO XXXX6273 CAFE DE PRELAZ SARL LAUSANNE (CH)
11/6/2025,Enregistrement comptable,ACHAT/SERVICE DU 11.06.2025 CARTE NO XXXX6273 CHOCOLATERIE WUTHRICH SA LAUSANNE (CH)
10/6/2025,Enregistrement comptable,ACHAT/PRESTATION TWINT DU 10.06.2025 CHOCOLATERIE WUTHRICH SA LAUSANNE (CH)
